platform,title,author,genre,rating,purchase_count,total_amount_krw,first_date,last_date
카카오페이지,내 성장속도가 이상하다,추월,판타지,9.6,29,2900,2021-02-09,2021-02-10
네이버 시리즈,환생좌,ALLA,현판,9.4,40,2800,2021-09-26,2021-09-26
카카오페이지,아포칼립스의 고인물,슬리버,판타지,9.6,27,2700,2021-05-14,2021-05-15
카카오페이지,전왕전기,우각,무협,3.0,25,2500,2021-08-17,2021-08-17
카카오페이지,혼세록 : 남천제,기백,무협,9.7,1,2500,2021-01-27,2021-01-27
문피아,방랑기사로 살아가는 법,글쓰는기계,"판타지, 퓨전",,24,2400,2020-12-18,2020-12-18
카카오페이지,칼든 자들의 도시,장영훈,현판,9.7,23,2300,2022-08-06,2022-08-06
문피아,킬 더 히어로,디다트,"현대판타지, 퓨전",,23,2300,2018-08-24,2018-08-25
카카오페이지,이계의 후예,글쓰는기계,현판,9.7,23,2300,2021-06-14,2021-06-14
네이버 시리즈,괴력 난신,한중월야,무협,9.8,28,2100,2022-01-12,2022-01-13
문피아,퍼펙트 센터,시라이라,"스포츠, 현대판타지",,21,2100,2018-12-17,2018-12-21
문피아,나는 마법사다.,김강현,현대판타지,,21,2100,2021-06-06,2021-06-06
네이버 시리즈,멸망 이후의 세계,싱숑,현판,9.8,24,2000,2022-02-10,2022-02-26
문피아,BJ대마도사,디다트,"게임, 퓨전",,20,2000,2018-11-28,2018-12-05
문피아,로만의 검공,ALLA,판타지,,20,2000,2019-06-16,2019-06-19
카카오페이지,걸그룹 소설 아닌데요?,행운요정,현판,9.5,20,2000,2022-06-24,2022-06-24
문피아,양학하는 기갑 헌터,데프프픗,"현대판타지, 퓨전",,20,2000,2019-11-22,2019-12-19
네이버 시리즈,언페어,GINA,로맨스,8.4,20,2000,2021-07-09,2021-07-09
문피아,절대자의 현대생활,고두열,"현대판타지, 판타지",,20,1900,2020-01-23,2020-02-11
카카오페이지,열일하는 과금 기사,박건,판타지,4.0,19,1900,2021-11-07,2021-11-07
카카오페이지,2레벨로 회귀한 무신,염비,판타지,1.8,19,1900,2021-11-08,2021-11-08
네이버 시리즈,선협에서 하남자로 살아남기,로드케이,무협,9.3,89,1900,2026-04-12,2026-04-26
네이버 시리즈,반강제적 제국주의자,지갑송,판타지,9.9,21,1900,2026-02-02,2026-02-02
문피아,100년 수련한 축구선수,한명현,"스포츠, 현대판타지",,19,1900,2018-11-24,2018-11-25
카카오페이지,질풍광룡,조진행,무협,7.0,18,1800,2020-05-31,2020-06-02
카카오페이지,주인공의 여동생이다,안경원숭이,로판,2.0,18,1800,2019-10-17,2019-10-18
네이버 시리즈,짜장 한 그릇에 제갈세가 데릴사위,에르훗,무협,9.7,21,1700,2022-10-28,2022-10-30
카카오페이지,중간 보스의 소꿉친구가 되었다,시윤,판타지,1.0,17,1700,2021-12-04,2021-12-05
카카오페이지,검술명가 막내아들,황제펭귄,판타지,4.6,16,1600,2021-03-19,2021-03-27
카카오페이지,체육고 영재로 회귀했다,Walther,현판,9.7,16,1600,2021-09-25,2021-09-25
